roll,pitch,yaw
0.0134805,0.0390626,-1.13728
0.0152223,0.0325062,-0.961284
0.0158763,0.0261921,-0.785111
0.0154916,0.0197297,-0.608967
0.0141029,0.0137891,-0.433282
0.0117146,0.00792985,-0.257599
0.00788767,0.00223281,-0.0815353
0.00285054,-0.00295895,0.0945502
-0.00244521,-0.00678565,0.270914
-0.0086546,-0.0094633,0.447303
-0.0152758,-0.0110189,0.623167
-0.0223207,-0.011667,0.799044
-0.0296592,-0.0110305,0.974543
-0.036727,-0.00923254,1.15003
-0.0427577,-0.00589563,1.32559
-0.0484893,-0.00239026,1.5014
-0.0532112,0.0022976,1.67719
-0.057347,0.00777026,1.85308
-0.060456,0.0138456,2.02895
-0.0625119,0.0205937,2.20483
-0.0632179,0.0275892,2.38072
-0.062966,0.0343951,2.55664
-0.0611408,0.0410074,2.73261
-0.0582046,0.0473742,2.90866
-0.0542955,0.0532071,3.08476
-0.0493001,0.0581495,-3.02251
-0.0433728,0.0622945,-2.84651
-0.0371378,0.0651233,-2.67029
-0.0304926,0.0668108,-2.49402
-0.0237367,0.0675647,-2.31804
-0.0170556,0.0671032,-2.14206
-0.00974328,0.0654615,-1.96567
-0.00311449,0.0625284,-1.78934
0.00271245,0.0588581,-1.61299
0.00751245,0.0543176,-1.43673
0.0122362,0.0484955,-1.26087
0.0158538,0.0417399,-1.08509
0.0179562,0.0348903,-0.90895
0.0191862,0.0277844,-0.73285
0.0189446,0.0200713,-0.557086
0.0172236,0.0126081,-0.381345
0.0146735,0.00591316,-0.205657
0.0107619,7.77025e-05,-0.0299581
0.00546712,-0.00517863,0.145863
-0.000313784,-0.00946742,0.321712
-0.00689807,-0.0128642,0.497814
-0.0141732,-0.0148102,0.673942
-0.0219061,-0.0154003,0.849989
-0.0292651,-0.014793,1.02603
-0.0364809,-0.0125988,1.202
-0.0431049,-0.00951212,1.37794
-0.0490175,-0.00499439,1.55376
-0.0539091,0.000166765,1.72954
-0.0580164,0.0060317,1.90534
-0.0611518,0.0128804,2.08111
-0.063214,0.0201203,2.25681
-0.0639773,0.0272392,2.43296
-0.0636524,0.0347344,2.60914
-0.0622415,0.0418878,2.78493
-0.0594565,0.0483256,2.9608
-0.0551916,0.0544027,3.13716
-0.0496784,0.0595189,-2.96956
-0.0432326,0.0638745,-2.79301
-0.0363653,0.0667512,-2.61641
-0.0289096,0.0687267,-2.43976
-0.0213271,0.0690038,-2.26309
-0.0138791,0.0685364,-2.08649
-0.00653023,0.066461,-1.9099
0.000282336,0.0629456,-1.73363
0.00620619,0.0586077,-1.55744
0.011632,0.0531801,-1.38137
0.0157165,0.0469707,-1.2054
0.0187316,0.0400699,-1.0294
0.0206337,0.032896,-0.85346
0.0209971,0.0250973,-0.67737
0.0201765,0.0172723,-0.501306
0.0180303,0.0101502,-0.325566
0.0143511,0.00335678,-0.149822
0.0100033,-0.00234494,0.0262956
0.00436281,-0.00724942,0.202442
-0.00166203,-0.0111131,0.378489
-0.00838361,-0.0137699,0.554565
-0.0156864,-0.0153349,0.730852
-0.023459,-0.0157463,0.907155
-0.0306218,-0.0147213,1.08329
-0.0377416,-0.0123768,1.25941
-0.0440758,-0.00851072,1.43541
-0.0498018,-0.00379029,1.61137
-0.0547339,0.00132711,1.78782
-0.0586121,0.00753833,1.96426
-0.0610935,0.0146041,2.14024
-0.0623029,0.0219619,2.31623
-0.0624717,0.0289592,2.49208
-0.0613029,0.0360489,2.66797
-0.0590775,0.0423335,2.84414
-0.0556183,0.0484936,3.02039
-0.0513511,0.0540889,-3.08648
-0.0453996,0.0588054,-2.91036
-0.0386472,0.0625131,-2.73417
-0.031643,0.0647458,-2.55807
-0.0247465,0.0656882,-2.38197
-0.018023,0.0653888,-2.20588
-0.0114141,0.0639235,-2.0298
-0.00565167,0.0616993,-1.85386
-0.000452082,0.0584312,-1.67797
0.00432504,0.0540085,-1.50213
0.0081563,0.0492047,-1.32635
0.0113537,0.0438798,-1.15016
0.0137296,0.0379707,-0.974023
0.0151434,0.0307783,-0.797856
0.015202,0.0234293,-0.621736
0.014277,0.0167136,-0.445729
0.0118547,0.0104456,-0.269737
0.00850727,0.00469339,-0.0938937
0.00399927,-0.000721257,0.0819664
-0.00107316,-0.00463875,0.257531
-0.00705057,-0.00770421,0.433119
-0.0130201,-0.00998519,0.608953
-0.0193664,-0.0111929,0.784803
-0.0258362,-0.0117164,0.960882
-0.0321066,-0.0108996,1.13696
-0.0384935,-0.00892369,1.31305
-0.0443671,-0.00584357,1.48911
-0.0493784,-0.00170548,1.6648
-0.0536576,0.00324029,1.84047
-0.0568077,0.0086452,2.01627
-0.0593356,0.0146271,2.19205
-0.0608932,0.0213186,2.36791
-0.0615322,0.0284096,2.54378
-0.0605174,0.0354483,2.71996
-0.0580798,0.0421226,2.8962
-0.0547934,0.0480005,3.07247
-0.050431,0.053384,-3.03437
-0.044986,0.0585489,-2.85824
-0.038665,0.0624204,-2.68203
-0.0321812,0.0652148,-2.50528
-0.0252815,0.0667377,-2.32848
-0.0179136,0.06724,-2.15181
-0.0111055,0.0659437,-1.97564
-0.00479358,0.063439,-1.79952
0.00105156,0.0597233,-1.62333
0.00614847,0.055305,-1.44721
0.010887,0.0500663,-1.27085
0.0144505,0.0444112,-1.09457
0.0174584,0.038089,-0.918545
0.019199,0.0313806,-0.742585
0.0195501,0.0241812,-0.566675
0.0186986,0.0172862,-0.390791
0.0163379,0.00970239,-0.214956
0.0127998,0.00291478,-0.0391132
0.00809351,-0.0030332,0.136913
0.00228289,-0.008194,0.31297
-0.00419547,-0.0120183,0.488681
-0.0112987,-0.0142585,0.664418
-0.0187739,-0.0157706,0.839896
-0.0263373,-0.0158251,1.01538
-0.0335906,-0.0143413,1.19085
-0.0404365,-0.0116029,1.36631
-0.0469725,-0.00767762,1.54246
-0.0523242,-0.00267281,1.71857
-0.057013,0.00348838,1.89429
-0.0605358,0.0106146,2.06998
-0.0630296,0.0178007,2.24559
-0.0639166,0.0250666,2.42122
-0.063927,0.0324294,2.59693
-0.0625309,0.0399898,2.77269
-0.059933,0.0467603,2.94847
-0.0565049,0.0531012,3.1243
-0.0517469,0.0585979,-2.98317
-0.0461499,0.0629929,-2.80739
-0.0394431,0.0664078,-2.63145
-0.0321586,0.0685816,-2.45545
-0.0245416,0.0700275,-2.27864
-0.016936,0.0699275,-2.10184
-0.00952894,0.0682171,-1.92563
-0.00221623,0.0651513,-1.74945
0.00412108,0.061001,-1.57344
0.00970982,0.0561754,-1.3975
0.0141738,0.0497484,-1.22146
0.0176255,0.0426901,-1.04538
0.0196472,0.0352873,-0.869373
0.0202042,0.0275216,-0.693647
0.0197526,0.0199168,-0.51795
0.0176057,0.0122545,-0.34225
0.0143611,0.0048968,-0.166544
0.0100491,-0.00137726,0.00953197
0.00456747,-0.00717246,0.18564
-0.00169424,-0.0119195,0.361783
-0.00868028,-0.0151298,0.537959
-0.0165223,-0.0169735,0.714133
-0.0244711,-0.0176982,0.89032
-0.0321672,-0.0166109,1.06656
-0.0397248,-0.0141671,1.24279
-0.0468499,-0.0107348,1.41871
-0.0530437,-0.00591249,1.59459
-0.058483,-0.000423697,1.77051
-0.0626398,0.00586564,1.94639
-0.0660415,0.0130738,2.12246
-0.0681064,0.0210236,2.29853
-0.0686413,0.0295729,2.47438
-0.0677837,0.0380311,2.65027
-0.0655927,0.0464778,2.82632
-0.0617761,0.0543649,3.00247
-0.0562017,0.0613692,-3.10428
-0.0493952,0.0672856,-2.92773
-0.0418489,0.0715431,-2.75122
-0.0335901,0.0746164,-2.57464
-0.0253327,0.0762085,-2.39811
-0.0171129,0.0762842,-2.22158
-0.00826007,0.0751276,-2.04512
0.000319939,0.072143,-1.86869
0.00836421,0.0683788,-1.69197
0.0158113,0.063025,-1.51533
0.0217587,0.0559963,-1.339
0.0262358,0.0482962,-1.1628
0.0290918,0.0397011,-0.986689
0.0307522,0.0308912,-0.810648
0.0308859,0.0219132,-0.634675
0.0296043,0.0127938,-0.458727
0.0268003,0.00419221,-0.283007
0.0224011,-0.0041128,-0.107264
0.0166667,-0.0115096,0.068523
0.00939378,-0.0177458,0.244296
0.000963064,-0.0229487,0.420135
-0.00804326,-0.0266565,0.596252
-0.0175323,-0.0287439,0.772407
-0.0276409,-0.0287005,0.949018
-0.0377673,-0.0269787,1.12562
-0.0470911,-0.0237102,1.30218
-0.0560179,-0.0186247,1.47869
-0.0635161,-0.0122266,1.65487
-0.0698408,-0.00424123,1.83099
-0.074907,0.0045122,2.00699
-0.077978,0.0139335,2.18296
-0.0793356,0.0242694,2.35881
-0.0789788,0.0349151,2.53469
-0.0770429,0.0448213,2.71069
-0.0736378,0.0541436,2.88678
-0.0684262,0.0630264,3.06292
-0.0615151,0.0707977,-3.04397
-0.0532304,0.0772497,-2.8674
-0.0438269,0.0821811,-2.6907
-0.0338974,0.0852884,-2.51417
-0.023667,0.0865446,-2.33761
-0.013334,0.0865849,-2.16112
-0.00334073,0.0844894,-1.98466
0.00580912,0.0802478,-1.80845
0.0141399,0.0747158,-1.63235
0.0219595,0.0676401,-1.45602
0.0281909,0.0591554,-1.27985
0.0329789,0.0496543,-1.10395
0.0360569,0.0395429,-0.928175
0.0376569,0.0288412,-0.752481
0.0372086,0.0183234,-0.576855
0.035251,0.00834954,-0.401161
0.0312148,-0.000996442,-0.225457
0.0258748,-0.00990906,-0.0498385
0.0190188,-0.017372,0.125843
0.0106486,-0.0236229,0.301755
0.00125424,-0.0287064,0.477741
-0.0090525,-0.0322847,0.653477
-0.0198078,-0.0337284,0.829252
-0.0306892,-0.0335209,1.00504
-0.0411071,-0.0307919,1.18107
-0.0509565,-0.0262935,1.35706
-0.0598554,-0.019986,1.53292
-0.0674124,-0.0126022,1.70871
-0.0743535,-0.00384963,1.88437
